:		
0x542143 <Ftimes+3>data.c:2768	mov %rdi,%rsi	$rdx=0x7fffffffd8e0 M2[7fffffffd8e0]=3
0x554df4 <eval_sub+52>eval.c:2268	pop %r13	$rsp=0x7fffffffd9a8 $r12=0xafb8e0
0x554df6 <eval_sub+54>eval.c:2268	pop %r14	$r13=0xb $rsp=0x7fffffffd9b0
0x554df8 <eval_sub+56>eval.c:2268	pop %r15	$rsp=0x7fffffffd9b8 $r14=0x2
0x554dfa <eval_sub+58>eval.c:2268	pop %rbp	$rsp=0x7fffffffd9c0 $r15=0xfdf186
0x554dfb <eval_sub+59>eval.c:2268	retq 	$rbp=0x7fffffffda70 $rsp=0x7fffffffd9c8
0x555124 <eval_sub+868>eval.c:2165	mov %r15,%rdi	$rsp=0x7fffffffd9d0 M2[3]=ba84b2
0x555127 <eval_sub+871>eval.c:2167	mov %rax,-0x8(%rbx)	$rdi=0xfdf186
0x55512b <eval_sub+875>eval.c:2165	callq 0x540a30 <Fcdr>	
0x540a30 <Fcdr>lisp.h:703	mov %edi,%eax	$rsp=0x7fffffffd9c8 M2[fba340]=3
0x540a32 <Fcdr+2>lisp.h:703	and 0x7,%eax	$rax=0xfdf186 M2[fba340]=7
0x540a35 <Fcdr+5>lisp.h:1084	cmp 0x6,%eax	$rax=0x6
0x540a38 <Fcdr+8>lisp.h:None	je 0x540a50 <Fcdr+32>	
0x540a50 <Fcdr+32>lisp.h:1055	mov 0x2(%rdi),%rax	
0x540a54 <Fcdr+36>data.c:584	retq 	$rax=0xba84b2
0x555130 <eval_sub+880>eval.c:2165	mov %rax,%r15	$rsp=0x7fffffffd9d0 M2[ba84b2]=fba340
0x555133 <eval_sub+883>eval.c:2165	cmp -0x88(%rbp),%rbx	$r15=0xba84b2
